,Date,Symbol,Open,High,Low,Close,Volume,Close_Prediction
1268,20-01-2005,WIPRO,680.0,683.0,666.0,674.65,439498,665.1533
1269,24-01-2005,WIPRO,677.0,679.0,644.0,647.8,933659,659.6985
1270,25-01-2005,WIPRO,645.0,659.4,610.35,656.7,1008960,640.4959
1271,27-01-2005,WIPRO,678.7,679.0,660.0,674.7,1194862,636.57135
1272,28-01-2005,WIPRO,678.0,704.45,675.0,698.5,1261990,649.37463
1273,31-01-2005,WIPRO,710.1,712.0,692.0,705.35,795552,668.429
1274,01-02-2005,WIPRO,710.0,714.65,692.25,696.25,686873,680.0913
1275,02-02-2005,WIPRO,699.0,705.0,682.65,686.2,916544,677.3143
1276,03-02-2005,WIPRO,690.0,697.5,682.0,694.3,539758,668.746
1277,04-02-2005,WIPRO,728.0,728.0,695.0,703.15,847565,669.9054
1278,07-02-2005,WIPRO,708.0,708.0,686.0,688.4,632084,677.4818
1279,08-02-2005,WIPRO,699.0,699.0,684.15,693.15,316327,672.2412
1280,09-02-2005,WIPRO,696.0,697.0,689.1,691.55,372852,669.9962
1281,10-02-2005,WIPRO,691.0,691.0,680.5,684.85,236335,670.68024
1282,11-02-2005,WIPRO,690.0,699.0,684.0,695.25,574657,666.4488
1283,14-02-2005,WIPRO,714.95,720.0,703.0,713.65,999073,669.9847
1284,15-02-2005,WIPRO,713.0,714.0,703.0,706.65,461905,683.61914
1285,16-02-2005,WIPRO,710.15,714.85,701.55,706.9,645055,685.8305
1286,17-02-2005,WIPRO,703.0,703.0,690.25,698.5,431620,683.64996
1287,18-02-2005,WIPRO,694.0,697.9,688.3,691.25,327728,679.0739
1288,21-02-2005,WIPRO,690.9,690.9,676.0,678.65,270641,672.28174
1289,22-02-2005,WIPRO,685.0,685.9,673.0,683.45,350182,662.92664
1290,23-02-2005,WIPRO,679.0,683.0,674.0,679.4,319887,661.42126
1291,24-02-2005,WIPRO,683.0,685.0,675.0,677.4,458777,660.7693
1292,25-02-2005,WIPRO,680.15,684.0,661.9,672.7,873838,658.33215
1293,28-02-2005,WIPRO,684.0,703.0,668.0,699.5,750589,655.0841
1294,01-03-2005,WIPRO,700.0,700.0,673.1,675.65,475762,668.32117
1295,02-03-2005,WIPRO,680.0,683.0,666.0,671.1,534558,663.9908
1296,03-03-2005,WIPRO,671.0,702.0,671.0,696.55,711726,653.62726
1297,04-03-2005,WIPRO,700.25,724.0,697.0,720.05,1132942,666.1626
1298,07-03-2005,WIPRO,721.0,725.95,712.25,721.85,384241,687.6041
1299,08-03-2005,WIPRO,723.0,734.95,715.1,717.45,811425,696.4061
1300,09-03-2005,WIPRO,720.0,725.85,704.1,713.55,562655,694.55444
1301,10-03-2005,WIPRO,715.0,715.0,699.0,704.5,317193,690.9245
1302,11-03-2005,WIPRO,706.0,713.0,695.55,697.6,492088,684.60376
1303,14-03-2005,WIPRO,700.0,704.9,688.5,693.95,442676,677.7811
1304,15-03-2005,WIPRO,693.0,698.0,681.15,683.7,363547,673.47833
1305,16-03-2005,WIPRO,684.0,690.85,680.1,682.95,310675,666.60547
1306,17-03-2005,WIPRO,680.0,688.75,676.1,679.45,269110,662.8104
1307,18-03-2005,WIPRO,680.1,688.95,670.25,686.0,342544,660.63214
1308,21-03-2005,WIPRO,691.0,693.55,680.05,684.85,222988,663.09216
1309,22-03-2005,WIPRO,690.0,690.0,674.0,676.2,234072,664.61774
1310,23-03-2005,WIPRO,671.1,676.45,651.0,655.7,345703,659.466
1311,24-03-2005,WIPRO,660.0,665.0,640.25,645.4,458484,645.3403
1312,28-03-2005,WIPRO,650.0,662.65,635.0,643.2,644688,632.97107
1313,29-03-2005,WIPRO,643.2,646.15,637.0,641.2,833459,628.39624
1314,30-03-2005,WIPRO,640.05,646.05,624.15,630.35,688168,626.5835
1315,31-03-2005,WIPRO,656.4,686.0,640.0,670.95,1361331,620.0067
1316,01-04-2005,WIPRO,674.0,679.7,654.2,672.65,583145,638.6593
1317,04-04-2005,WIPRO,674.5,696.0,665.0,674.3,817141,652.9341
1318,05-04-2005,WIPRO,670.0,674.8,657.45,660.6,400084,654.4018
1319,06-04-2005,WIPRO,661.1,673.7,656.0,669.45,298683,647.40814
1320,07-04-2005,WIPRO,670.0,691.9,670.0,680.15,1275517,647.7703
1321,08-04-2005,WIPRO,678.5,678.5,663.0,665.2,379742,656.5705
1322,11-04-2005,WIPRO,670.0,670.0,648.0,652.55,225358,651.8605
1323,12-04-2005,WIPRO,645.0,655.9,635.25,645.8,841643,640.0019
1324,13-04-2005,WIPRO,650.0,654.0,640.0,645.45,479407,632.1585
1325,15-04-2005,WIPRO,640.0,640.0,601.0,605.6,922352,629.75745
1326,18-04-2005,WIPRO,580.25,642.0,580.25,594.75,589247,607.9169
1327,19-04-2005,WIPRO,595.0,607.9,570.0,576.95,644674,589.0933
1328,20-04-2005,WIPRO,580.0,599.0,574.0,594.95,734650,575.9762
1329,21-04-2005,WIPRO,608.0,608.0,580.0,604.05,701254,579.92346
1330,22-04-2005,WIPRO,640.0,674.8,625.0,643.95,2818211,590.6701
1331,25-04-2005,WIPRO,654.0,663.7,645.55,648.45,1017114,615.2934
1332,26-04-2005,WIPRO,645.0,651.65,637.2,639.95,583081,630.7929
1333,27-04-2005,WIPRO,640.0,645.0,628.2,635.0,622170,627.6174
1334,28-04-2005,WIPRO,635.0,649.0,635.0,643.35,1789533,622.1355
1335,29-04-2005,WIPRO,642.0,642.0,630.0,630.8,577341,625.0768
1336,02-05-2005,WIPRO,639.0,644.4,631.8,638.0,281864,620.95416
1337,03-05-2005,WIPRO,642.5,642.5,625.0,627.35,414525,620.7836
1338,04-05-2005,WIPRO,629.45,634.95,628.0,630.95,301132,617.32666
1339,05-05-2005,WIPRO,642.0,644.0,634.0,637.4,328335,615.8137
1340,06-05-2005,WIPRO,544.0,640.0,544.0,636.15,329984,620.50525
1341,09-05-2005,WIPRO,644.0,651.0,637.0,646.25,471752,621.93
1342,10-05-2005,WIPRO,649.0,650.9,642.25,647.8,471365,627.03735
1343,11-05-2005,WIPRO,616.35,647.0,616.35,637.8,339102,631.1903
1344,12-05-2005,WIPRO,637.8,644.4,637.0,643.25,213800,626.22986
1345,13-05-2005,WIPRO,645.0,645.0,633.0,636.2,277716,625.9377
1346,16-05-2005,WIPRO,640.5,664.0,636.2,659.0,614616,623.8687
1347,17-05-2005,WIPRO,659.0,669.85,654.0,657.45,411340,634.02905
1348,18-05-2005,WIPRO,656.8,656.8,643.0,652.35,437961,640.6557
1349,19-05-2005,WIPRO,660.0,667.0,651.25,658.05,434258,637.35095
1350,20-05-2005,WIPRO,655.1,668.9,653.0,663.3,429684,638.80334
1351,23-05-2005,WIPRO,663.0,672.5,657.2,666.4,619648,643.55426
1352,24-05-2005,WIPRO,675.55,684.4,666.2,682.45,619819,646.9815
1353,25-05-2005,WIPRO,677.0,689.0,673.05,687.0,472243,656.83325
1354,26-05-2005,WIPRO,661.0,720.5,625.2,716.3,1568421,664.6337
1355,27-05-2005,WIPRO,715.45,734.0,715.45,724.15,897392,682.35596
1356,30-05-2005,WIPRO,724.0,725.0,705.0,707.45,466842,696.4411
1357,31-05-2005,WIPRO,710.05,721.0,707.0,715.75,323822,689.7558
1358,01-06-2005,WIPRO,717.0,721.0,704.0,711.25,401659,688.83014
1359,02-06-2005,WIPRO,715.0,718.8,700.0,700.8,346702,689.0821
1360,03-06-2005,WIPRO,708.85,725.0,701.1,721.65,625520,681.789
1361,04-06-2005,WIPRO,720.1,725.0,713.15,722.6,220154,689.9033
1362,06-06-2005,WIPRO,715.0,723.4,712.0,716.2,501451,697.35547
